ID;DOMAIN;ORDERS;CODE;TEXT_DE;TEXT_FR;TEXT_IT
200;availability;1;"immediate";"ab Sofort";"de suite";"Da subito";
201;availability;2;"by_arrangement";"nach Vereinbarung";"à convenir";"Da concordare";
10;jobGroup;1;"1";"Administration/Verwaltung/Management";"Administration/Gestion/Management";"Amministrazione/Gestione/Management";
11;jobGroup;2;"2";"Finanzwesen/Versicherungen/Recht";"Finances/Assurances/Droit";"Finanze/Assicurazioni/Diritto";
12;jobGroup;3;"3";"Marketing/Tourismus/Medien";"Marketing/Tourisme/Médias";"Marketing/Turismo/Media";
13;jobGroup;4;"4";"Informatik/Ingenieure";"Informatique/Ingénieurs";"Informatica/Ingegneria";
14;jobGroup;5;"5";"Industriehandwerk/Technik/Grafik";"Industrie/Technique/Arts graphiques";"Artigianato industriale/Tecnica/ Grafica";
15;jobGroup;6;"6";"Bauhandwerk";"Métiers du bâtiment";"Artigianato edile";
16;jobGroup;7;"7";"Logistik/Transport";"Logistique/Transports";"Logistica/Trasporto";
17;jobGroup;8;"8";"Landwirtschaft/Gartenbau";"Agriculture/Horticulture";"Agricoltura/Orticoltura";
18;jobGroup;9;"9";"Verkauf/Aussendienst";"Vente/Service externe";"Vendita/Servizio esterno";
19;jobGroup;10;"10";"Gastronomie/Lebensmittel";"Gastronomie/Denrées alimentaires";"Gastronomia/Derrate alimentari";
20;jobGroup;11;"11";"Reinigung/Unterhalt";"Nettoyage/Entretien";"Pulizia/Manutenzione";
21;jobGroup;12;"12";"Soziales/Pädagogik/Geisteswissenschaft";"Social/Pédagogie/Sciences humaines";"Socialità/Pedagogia/Scienze umane";
22;jobGroup;13;"13";"Gesundheitswesen/Naturwissenschaft";"Santé/Sciences naturelles";"Sanità/Scienze naturali";
23;jobGroup;14;"14";"Kunst/Dienstleistung/Sonstige Berufe";"Art/Services/Autres professions";"Arte/Servizi/Altre professioni";
40;educationalLevel;1;"ISCED1";"Primarstufe - ISCED 1";"degré primaire - ISCED 1";"Livello primario - ISCED 1";
41;educationalLevel;2;"ISCED2";"Sekundarstufe I - ISCED 2";"degré secondaire I - ISCED 2";"Livello secondario I - ISCED 2";
42;educationalLevel;3;"ISCED3";"Sekundarstufe II - ISCED 3";"degré secondaire II - ISCED 3";"Livello secondario II - ISCED 3";
43;educationalLevel;4;"ISCED4";"Zweitausbildung nicht tertiäre Stufe - ISCED 4";"degré post-secondaire non tertiaire ISCED 4";"Seconda formazione - ISCED 4";
44;educationalLevel;5;"ISCED5";"Tertiärstufe I - ISCED 5";"degré tertiaire I - ISCED 5";"Livello terziario I - ISCED 5";
45;educationalLevel;6;"ISCED6";"Tertiärstufe II - ISCED 6";"degré tertiaire II - ISCED 6";"Livello terziario II - ISCED 6";
50;professionalCertificate;1;"1";"CH-Abschluss";"diplôme CH";"Diploma svizzero";
51;professionalCertificate;2;"2";"ausländisch, CH anerkannt";"diplôme étranger reconnu en CH";"Diploma estero riconosciuto in Svizzera";
52;professionalCertificate;3;"3";"ausländisch, CH nicht anerkannt";"diplôme étranger non reconnu en CH";"Diploma estero non riconosciuto in Svizzera";
53;professionalCertificate;4;"4";"Keiner";"aucun";"nessuno";
60;professionalExperience;1;"05";"weniger als 1 Jahr";"moins d'une année";"Meno di 1 anno";
61;professionalExperience;2;"10";"mehr als 1 Jahr";"plus d'une année";"Più di 1 anno";
62;professionalExperience;3;"20";"mehr als 3 Jahre";"plus de trois ans";"Più di 3 anni";
90;"durationOfEmployment";1;"1";"unbefristet";"à durée indéterminée";"indeterminata";
91;"durationOfEmployment";2;"0";"befristet";"à durée déterminée";"determinata";
100;"startOfEmployment";1;"1";"ab sofort";"tout de suite";"da subito";
101;"startOfEmployment";2;"0";"nach Vereinbarung";"à convenir";"da convenire";
9999;"employmentOfficeArea";1;"CHA20";"AOSTE Auslandstellen EU/EFTA";"AOSTE Auslandstellen EU/EFTA";"AOSTE Auslandstellen EU/EFTA";
9998;"employmentOfficeArea";2;"CHA40";"AOSTE Auslandstellen Drittstaaten";"AOSTE Auslandstellen Drittstaaten";"AOSTE Auslandstellen Drittstaaten";
