ID;FINGERPRINT;STELLENNUMMER_AVAM;STELLENNUMMER_EGOV;URL;BEZEICHNUNG;BESCHREIBUNG;DETAILANGABEN;ERGAENZENDE_ANGABEN;STELLENANTRITT;AB_SOFORT_B;VERTRAGSDAUER;UNBEFRISTET_B;PENSUM_VON;PENSUM_BIS;GLEICHE_OSTE;ARBEITSZEIT_STD;LOHN_MIN;LOHN_MAX;WAEHRUNG;LOHNART_CODE;ALTER_VON;ALTER_BIS;GESCHLECHT_CODE;ANGABEN_ALTER;ARBEITSORTGEMEINDE;ARBEITSORT_TEXT;KANTON;ARBEITSORT_PLZ;ARBEITSORT_AUSLAND;ARBEITSORT_REGION;ARBEITSLAND_DE;ARBEITSLAND_FR;ARBEITSLAND_IT;ARBEITSAMTBEREICH;KATEGORIE_CODE;ANMELDE_DATUM;ABMELDE_DATUM;ABMELDE_GRUND_CODE;GUELTIGKEIT;PRIV_FAHRZEUG_B;JOB_SHARING_B;BEHINDERT;WWW_PUBLIKATION_B;WWW_ANONYM_B;SSI_PUBLIKATION_B;SSI_ANONYM_B;TELETEXT_B;TELETEXT_ANONYM_B;TELETEXT_KANAL_CODE;TELETEXT_ZUSATZTEXT;EURES_B;EURES_ANONYM_B;BEWER_SCHRIFTLICH_B;BEWER_ELEKTRONISCH_B;BEWER_TELEFONISCH_B;BEWER_PERSOENLICH_B;UNT_NAME;UNT_STRASSE;UNT_HAUS_NR;UNT_PLZ;UNT_ORT;UNT_POSTFACH;UNT_POSTFACH_PLZ;UNT_POSTFACH_ORT;UNT_LAND;UNT_TELEFON;UNT_EMAIL;UNT_URL;KP_ANREDE_CODE;KP_NAME;KP_VORNAME;KP_TELEFON_NR;KP_EMAIL;BQ1_AVAM_BERUF_NR;BQ1_QUALIFIKATION_CODE;BQ1_VERWANDTE_BERUFE_B;BQ1_ERFAHRUNG_CODE;BQ1_AUSBILDUNG_CODE;BQ2_AVAM_BERUF_NR;BQ2_QUALIFIKATION_CODE;BQ2_VERWANDTE_BERUFE_B;BQ2_ERFAHRUNG_CODE;BQ2_AUSBILDUNG_CODE;BQ3_AVAM_BERUF_NR;BQ3_QUALIFIKATION_CODE;BQ3_VERWANDTE_BERUFE_B;BQ3_ERFAHRUNG_CODE;BQ3_AUSBILDUNG_CODE;SK1_SPRACHE_CODE;SK1_MUENDLICH_CODE;SK1_SCHRIFTLICH_CODE;SK1_MUTTERSPRACHE_B;SK1_AUFENTHALT_B;SK2_SPRACHE_CODE;SK2_MUENDLICH_CODE;SK2_SCHRIFTLICH_CODE;SK2_MUTTERSPRACHE_B;SK2_AUFENTHALT_B;SK3_SPRACHE_CODE;SK3_MUENDLICH_CODE;SK3_SCHRIFTLICH_CODE;SK3_MUTTERSPRACHE_B;SK3_AUFENTHALT_B;SK4_SPRACHE_CODE;SK4_MUENDLICH_CODE;SK4_SCHRIFTLICH_CODE;SK4_MUTTERSPRACHE_B;SK4_AUFENTHALT_B;SK5_SPRACHE_CODE;SK5_MUENDLICH_CODE;SK5_SCHRIFTLICH_CODE;SK5_MUTTERSPRACHE_B;SK5_AUFENTHALT_B
"b8b8c0f50e90e9d54bbab5c6a16dd16f8ea2818d395834c7cde121abdb0bfff8efe040f30ad6a9d6";"b8b8c0f50e90e9d54bbab5c6a16dd16f8ea2818d395834c7cde121abdb0bfff8efe040f30ad6a9d6";;;"http://www.buttyjardins.ch/jardins/emploi.html";"un(e) chef(fe) d'équipe avec expérience à 100%";;;;;;;;100;100;;;;;;;;;;;"6643";"Vernier";"GE";"1214";;"GE01";;;;;;"2011-12-31-00.00.00.000000";;;;;;;;;;;;;;;;;;;;;"BUTTY JARDINS Sàrl";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8e6b8fbf4a05614e9473f13925ea4c5eb376778a516aa6f73783cce61f376727770d7d6cfd8d8c10";"8e6b8fbf4a05614e9473f13925ea4c5eb376778a516aa6f73783cce61f376727770d7d6cfd8d8c10";;;"http://www.childrenaction-shop.org/data/en/fondation/benevol/postes_divers.asp";"Graphic designer PAC";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-02-27-18.12.38.000000";;;;;;;;;;;;;;;;;;;;;"Children Action, Fondation pour la Protection de l'Enfance et l'Action humanitaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"8e6b8fbf4a05614e9473f13925ea4c5eb376778af701b9eb9cf56d6be1e47f9dd8df39828422a0d4";"8e6b8fbf4a05614e9473f13925ea4c5eb376778af701b9eb9cf56d6be1e47f9dd8df39828422a0d4";;;"http://www.childrenaction-shop.org/data/en/fondation/benevol/burn_sequelae.asp";"Head of clinic, hospital expert or Professor";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-02-27-18.12.38.000000";;;;;;;;;;;;;;;;;;;;;"Children Action, Fondation pour la Protection de l'Enfance et l'Action humanitaire";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"55e42d47b52efad31b7c1a9e37b4cdeb74c8ab63fbe8b7477145c4c9f236de168d0e1940f32e82ca";"55e42d47b52efad31b7c1a9e37b4cdeb74c8ab63fbe8b7477145c4c9f236de168d0e1940f32e82ca";;;"http://www.jobup.ch/search/Jobview.asp?cmd=showPosting&PID=1146327&lang=fr&gui=0";"Chef de Rang (club lounge) H/F - Horaire Continu";;;;;;;;100;100;;;;;;;;;;;;"Genève (Rive droite)";"GE";;;;;;;;;"2015-07-16-12.13.09.000000";;;;;;;;;;;;;;;;;;;;;"Crowne Plaza Geneva";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"55e42d47b52efad31b7c1a9e37b4cdeb74c8ab633ef39481695ced23b71716285ac867a07895ae02";"55e42d47b52efad31b7c1a9e37b4cdeb74c8ab633ef39481695ced23b71716285ac867a07895ae02";;;"http://www.jobup.ch/search/Jobview.asp?cmd=showPosting&PID=1140594&lang=fr&gui=0";"SOUS-CHEF H/F";;;;;;;;100;100;;;;;;;;;;;;"Genève (Rive droite)";"GE";;;;;;;;;"2015-06-25-13.29.15.000000";;;;;;;;;;;;;;;;;;;;;"Crowne Plaza Geneva";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc0555d886ab5dcf01be6332eb7542cdeb329cc5ecb0";"18acb3b42033486c04115500cc799cb48c7bfc0555d886ab5dcf01be6332eb7542cdeb329cc5ecb0";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272595%27";"paysagiste";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-07-07-21.36.17.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc050ebcdc7babc0de9a1d6c7d1c180bfcb8183fa492";"18acb3b42033486c04115500cc799cb48c7bfc050ebcdc7babc0de9a1d6c7d1c180bfcb8183fa492";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272580%27";"PLAQUISTE";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-06-04-21.29.26.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc0571ef3ed0695341b63e469eea3478e82b3aab9a27";"18acb3b42033486c04115500cc799cb48c7bfc0571ef3ed0695341b63e469eea3478e82b3aab9a27";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%27905%27";"Polisseur(euse) confirmé(e)";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2011-03-09-10.49.51.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05bd7c809d7d47026e7390ba3c6b253d24efcbe8cf";"18acb3b42033486c04115500cc799cb48c7bfc05bd7c809d7d47026e7390ba3c6b253d24efcbe8cf";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%27907%27";"Régleurs CNC";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2011-03-09-10.50.03.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05d89edd349229c10e4587960e676d2fc2c6bdd8dc";"18acb3b42033486c04115500cc799cb48c7bfc05d89edd349229c10e4587960e676d2fc2c6bdd8dc";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272597%27";"Secrétaire juridique";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-07-13-01.12.23.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
