"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Aadorf";8355;0;"Aadorf";"TG";8.906;47.496
"Aarau";5000;0;"Aarau";"AG";8.046;47.395
"Aarau";5004;0;"Aarau";"AG";8.060;47.400
"Aarau Rohr";5032;0;"Aarau";"AG";8.083;47.404
"Aarberg";3270;0;"Aarberg";"BE";7.275;47.043
"Aarburg";4663;0;"Aarburg";"AG";7.907;47.324
"Aarwangen";4912;0;"Aarwangen";"BE";7.763;47.240
"Aathal-Seegräben";8607;0;"Seegräben";"ZH";8.769;47.339
"Aawangen";8522;2;"Aadorf";"TG";8.901;47.513
"Abländschen";1657;0;"Saanen";"BE";7.292;46.577
"Abtwil AG";5646;0;"Abtwil";"AG";8.355;47.175
"Abtwil SG";9030;0;"Gaiserwald";"SG";9.321;47.426
"Achseten";3725;0;"Frutigen";"BE";7.598;46.527
"Aclens";1123;0;"Aclens";"VD";6.509;46.567
"Acquarossa";6716;0;"Acquarossa";"TI";8.937;46.455
"Adelboden";3715;0;"Adelboden";"BE";7.558;46.492
"Adetswil";8345;0;"Bäretswil";"ZH";8.840;47.340
"Adligenswil";6043;0;"Adligenswil";"LU";8.365;47.070
"Adlikon b. Andelfingen";8452;0;"Adlikon";"ZH";8.693;47.580
"Adlikon b. Regensdorf";8106;2;"Regensdorf";"ZH";8.463;47.450
"Adliswil";8134;0;"Adliswil";"ZH";8.518;47.311
"Aedermannsdorf";4714;0;"Aedermannsdorf";"SO";7.608;47.303
"Aefligen";3426;0;"Aefligen";"BE";7.551;47.095
"Aegerten";2558;0;"Aegerten";"BE";7.291;47.121
"Aesch (Neftenbach)";8412;0;"Neftenbach";"ZH";8.678;47.544
"Aesch BL";4147;0;"Aesch (BL)";"BL";7.587;47.474
"Aesch LU";6287;0;"Aesch (LU)";"LU";8.239;47.254
"Aesch ZH";8904;0;"Aesch (ZH)";"ZH";8.434;47.336
"Aeschau";3536;0;"Eggiwil";"BE";7.766;46.908
"Aeschi SO";4556;0;"Aeschi (SO)";"SO";7.665;47.178
"Aeschi b. Spiez";3703;0;"Aeschi bei Spiez";"BE";7.694;46.659
"Aeschiried";3703;41;"Aeschi bei Spiez";"BE";7.725;46.645
"Aeschlen b. Oberdiessbach";3672;2;"Oberdiessbach";"BE";7.646;46.837
"Aeschlen ob Gunten";3656;1;"Sigriswil";"BE";7.698;46.719
"Aetigkofen";4583;2;"Buchegg";"SO";7.466;47.123
"Aetingen";4587;0;"Buchegg";"SO";7.507;47.132
"Aettenschwil";5645;0;"Sins";"AG";8.369;47.184
"Aeugst am Albis";8914;0;"Aeugst am Albis";"ZH";8.491;47.267
"Aeugstertal";8914;2;"Aeugst am Albis";"ZH";8.493;47.282
"Affeltrangen";9556;0;"Affeltrangen";"TG";9.034;47.528
"Affoltern am Albis";8910;0;"Affoltern am Albis";"ZH";8.448;47.282
"Affoltern im Emmental";3416;0;"Affoltern im Emmental";"BE";7.732;47.066
"Agarn";3951;0;"Agarn";"VS";7.671;46.294
"Agarone";6597;0;"Cugnasco-Gerra";"TI";8.907;46.179
"Agasul";8308;2;"Illnau-Effretikon";"ZH";8.739;47.424
"Agiez";1352;0;"Agiez";"VD";6.506;46.718
"Agno";6982;0;"Agno";"TI";8.901;45.995
"Agra";6927;0;"Collina d'Oro";"TI";8.911;45.968
"Agriswil";3216;2;"Ried bei Kerzers";"FR";7.197;46.954
"Aigle";1860;0;"Aigle";"VD";6.967;46.317
"Aire-la-Ville";1288;0;"Aire-la-Ville";"GE";6.043;46.190
"Airolo";6780;0;"Airolo";"TI";8.609;46.529
"Alberswil";6248;0;"Alberswil";"LU";7.997;47.149
"Albeuve";1669;0;"Haut-Intyamon";"FR";7.056;46.516
"Albinen";3955;0;"Albinen";"VS";7.633;46.340
"Albligen";3183;0;"Schwarzenburg";"BE";7.315;46.851
"Alchenflüh";3422;2;"Rüdtligen-Alchenflüh";"BE";7.577;47.081
"Alchenstorf";3473;0;"Alchenstorf";"BE";7.639;47.126
"Aldesago";6974;0;"Lugano";"TI";8.978;46.008
"Algetshausen";9249;0;"Uzwil";"SG";9.106;47.445
"Alikon";5643;2;"Sins";"AG";8.363;47.199
"Allaman";1165;0;"Allaman";"VD";6.395;46.470
"Alle";2942;0;"Alle";"JU";7.128;47.427
"Allens";1304;3;"Cossonay";"VD";6.509;46.600
"Allenwinden";6319;0;"Baar";"ZG";8.551;47.164
"Allerheiligenberg";4615;0;"Hägendorf";"SO";7.814;47.352
"Allmendingen b. Bern";3112;0;"Allmendingen";"BE";7.524;46.914
"Allschwil";4123;0;"Allschwil";"BL";7.535;47.550
"Almens";7416;0;"Domleschg";"GR";9.459;46.738
"Alosen";6315;2;"Oberägeri";"ZG";8.639;47.142
"Alp Grüm";7710;2;"Poschiavo";"GR";10.03;46.374
