"ID"|"SWISSDOC"
24029|"9.814.5.0"
24031|"9.616.7.0"
24033|"9.564.3.0"
24042|"9.350.2.0"
24043|"9.350.2.0"
24047|"9.723.5.0"
24062|"9.725.17.0"
24067|"9.701.1.0"
24067|"9.703.7.0"
24748|"9.440.1.0"
24749|"9.440.1.0"
24750|"9.440.1.0"
24751|"9.440.1.0"
25168|"9.710.8.0"
25174|"9.734.10.0"
25178|"9.420.1.0"
25179|"9.420.1.0"
25180|"9.420.1.0"
25181|"9.420.1.0"
25197|"9.563.1.0"
25199|"9.430.2.0"
25204|"9.710.8.0"
25209|"9.731.15.0"
25215|"9.722.3.0"
25216|"9.721.34.0"
25217|"9.554.3.0"
25218|"9.554.3.0"
25219|"9.570.5.0"
25220|"9.570.6.0"
25224|"9.725.4.0"
25225|"9.725.4.0"
25231|"9.617.1.0"
25233|"9.617.1.0"
25243|"9.617.1.0"
25245|"9.617.1.0"
25248|"9.617.1.0"
25251|"9.616.5.0"
25273|"9.170.6.0"
25275|"9.440.1.0"
25278|"9.440.1.0"
58201|"9.440.1.0"
25426|"9.722.1.0"
25427|"9.722.2.0"
45303|"9.722.2.0"
25555|"9.854.1.0"
25556|"9.854.1.0"
25557|"9.854.1.0"
25558|"9.854.1.0"
25596|"9.862.5.0"
25616|"9.614.3.0"
36623|"9.614.3.0"
59923|"9.614.3.0"
59924|"9.614.3.0"
25618|"9.611.3.0"
53336|"9.611.3.0"
59921|"9.611.3.0"
59922|"9.611.3.0"
25619|"9.611.9.0"
36617|"9.611.9.0"
59879|"9.611.9.0"
59880|"9.611.9.0"
25620|"9.612.4.0"
36622|"9.612.4.0"
25621|"9.623.4.0"
36631|"9.623.4.0"
36632|"9.623.4.0"
36633|"9.623.4.0"
25622|"9.623.4.0"
36634|"9.623.4.0"
36635|"9.623.4.0"
36636|"9.623.4.0"
25623|"9.320.5.0"
36646|"9.320.5.0"
36647|"9.320.5.0"
36648|"9.320.5.0"
25624|"9.814.3.0"
36584|"9.814.3.0"
59911|"9.814.3.0"
59912|"9.814.3.0"
25625|"9.827.1.0"
36643|"9.827.1.0"
36644|"9.827.1.0"
36645|"9.827.1.0"
25628|"9.830.3.0"
36637|"9.830.3.0"
36638|"9.830.3.0"
36639|"9.830.3.0"
25629|"9.851.1.0"
36579|"9.851.1.0"
36580|"9.851.1.0"
36581|"9.851.1.0"
25630|"9.851.2.0"
36576|"9.851.2.0"
36577|"9.851.2.0"
36578|"9.851.2.0"
25631|"9.851.2.0"
36573|"9.851.2.0"
36574|"9.851.2.0"
36575|"9.851.2.0"
25632|"9.852.1.0"
36570|"9.852.1.0"
36571|"9.852.1.0"
36572|"9.852.1.0"
25633|"9.852.2.0"
36567|"9.852.2.0"
36568|"9.852.2.0"
36569|"9.852.2.0"
25634|"9.852.2.0"
36564|"9.852.2.0"
36565|"9.852.2.0"
36566|"9.852.2.0"
25635|"9.853.1.0"
36561|"9.853.1.0"
36562|"9.853.1.0"
36563|"9.853.1.0"
25636|"9.853.1.0"
25637|"9.853.2.0"
36555|"9.853.2.0"
36556|"9.853.2.0"
36557|"9.853.2.0"
25638|"9.854.1.0"
36552|"9.854.1.0"
36553|"9.854.1.0"
25661|"9.851.2.0"
25662|"9.852.1.0"
25663|"9.853.1.0"
25664|"9.853.2.0"
25665|"9.854.1.0"
25666|"9.854.2.0"
25667|"9.854.2.0"
25668|"9.855.1.0"
25670|"9.723.5.0"
25671|"9.350.3.0"
25675|"9.723.5.0"
25676|"9.723.5.0"
25928|"9.825.3.0"
25931|"9.703.6.0"
25933|"9.824.8.0"
25933|"9.824.9.0"
25954|"9.703.6.0"
25956|"9.814.6.0"
25957|"9.822.50.0"
25958|"9.822.50.0"
25960|"9.853.1.0"
25961|"9.854.1.0"
25962|"9.855.1.0"
26222|"9.564.3.0"
26223|"9.564.3.0"
26386|"9.824.3.0"
26387|"9.824.5.0"
26388|"9.824.5.0"
26389|"9.824.5.0"
26390|"9.824.5.0"
26391|"9.824.5.0"
26392|"9.824.8.0"
26599|"9.563.3.0"
26600|"9.563.3.0"
26601|"9.563.3.0"
26603|"9.563.4.0"
26604|"9.563.5.0"
26607|"9.563.6.0"
26608|"9.563.6.0"
26609|"9.563.6.0"
26610|"9.563.6.0"
26611|"9.563.7.0"
26612|"9.563.8.0"
26613|"9.563.8.0"
26614|"9.814.3.0"
26615|"9.563.8.0"
26618|"9.814.3.0"
26709|"9.851.1.0"
26713|"9.851.2.0"
26714|"9.851.2.0"
26715|"9.851.2.0"
26716|"9.851.2.0"
26717|"9.851.2.0"
26722|"9.852.1.0"
26744|"9.854.2.0"
26745|"9.854.2.0"
26746|"9.854.2.0"
26747|"9.854.2.0"
26749|"9.855.1.0"
26750|"9.851.1.0"
26754|"9.852.1.0"
26756|"9.853.1.0"
26758|"9.853.2.0"
26760|"9.854.1.0"
26762|"9.854.2.0"
26763|"9.854.2.0"
26765|"9.855.1.0"
26769|"9.861.11.0"
26771|"9.864.2.0"
26772|"9.861.15.0"
26776|"9.861.21.0"
26777|"9.862.5.0"
26778|"9.862.8.0"
26779|"9.862.19.0"
26781|"9.862.21.0"
26782|"9.866.1.0"
26783|"9.731.29.0"
26784|"9.851.1.0"
26785|"9.851.1.0"
26786|"9.851.2.0"
26787|"9.851.2.0"
26788|"9.851.2.0"
26790|"9.701.3.0"
26791|"9.703.7.0"
26792|"9.851.3.0"
26793|"9.851.3.0"
26794|"9.851.3.0"
26819|"9.854.1.0"
26820|"9.854.2.0"
26821|"9.854.2.0"
26822|"9.854.2.0"
