"TEXT"|"CODE"|"ZUSATZZIFFER"|"GEMEINDE"|"KANTON"|"E"|"N"|"ID"|"LONGITUDE"|"LATITUDE"|"BFS_NR"|"AVAM_SUCHREGION"
"Aadorf"|8355|0|"Aadorf"|"TG"|710588|261648|1|8.906306|47.496283|4551|"TG04"
"Aarau"|5000|0|"Aarau"|"AG"|645856|249629|2|8.046036|47.395886|4001|"AG01"
"Aarau"|5004|0|"Aarau"|"AG"|646950|250197|3|8.060586|47.400917|4001|"AG01"
"Aarau Rohr"|5032|0|"Aarau"|"AG"|648652|250616|4|8.083178|47.404564|4001|"AG01"
"Aarberg"|3270|0|"Aarberg"|"BE"|587587|210292|5|7.275297|47.043542|301|"BE08"
"Aarburg"|4663|0|"Aarburg"|"AG"|635425|241612|6|7.907239|47.324422|4271|"AG11"
"Aarwangen"|4912|0|"Aarwangen"|"BE"|624590|232268|7|7.763406|47.240872|321|"BE07"
"Aathal-Seegräben"|8607|0|"Seegräben"|"ZH"|700585|244029|8|8.769611|47.339442|119|"ZH11"
"Aawangen"|8522|2|"Aadorf"|"TG"|710206|263564|9|8.901711|47.513575|4551|"TG04"
"Abländschen"|1657|0|"Saanen"|"BE"|588821|158428|10|7.292803|46.577031|843|"BE04"
"Abtwil AG"|5646|0|"Abtwil"|"AG"|669471|225299|11|8.355053|47.174997|4221|"AG07"
"Abtwil SG"|9030|0|"Gaiserwald"|"SG"|742026|254523|12|9.321131|47.426181|3442|"SG01"
"Achseten"|3725|0|"Frutigen"|"BE"|612260|152870|13|7.598425|46.527014|563|"BE02"
"Aclens"|1123|0|"Aclens"|"VD"|528792|157797|14|6.509850|46.567658|5621|"VD02"
"Acquarossa"|6716|0|"Acquarossa"|"TI"|715114|146055|15|8.937067|46.455936|5048|"TI01"
"Adelboden"|3715|0|"Adelboden"|"BE"|609227|149073|16|7.558819|46.492906|561|"BE02"
"Adetswil"|8345|0|"Bäretswil"|"ZH"|705932|244242|17|8.840403|47.340522|111|"ZH11"
"Adligenswil"|6043|0|"Adligenswil"|"LU"|670369|213699|18|8.365092|47.070569|1051|"LU01"
"Adlikon b. Andelfingen"|8452|0|"Adlikon"|"ZH"|694409|270774|19|8.693558|47.580872|21|"ZH08"
"Adlikon b. Regensdorf"|8106|2|"Regensdorf"|"ZH"|677295|256008|20|8.463539|47.450317|96|"ZH06"
"Adliswil"|8134|0|"Adliswil"|"ZH"|681612|240612|21|8.517967|47.311333|131|"ZH03"
"Aedermannsdorf"|4714|0|"Aedermannsdorf"|"SO"|612829|239205|22|7.608272|47.303600|2421|"SO04"
"Aefligen"|3426|0|"Aefligen"|"BE"|608588|216085|23|7.551753|47.095711|401|"BE06"
"Aegerten"|2558|0|"Aegerten"|"BE"|588846|218917|24|7.291653|47.121147|731|"BE08"
"Aesch (Neftenbach)"|8412|0|"Neftenbach"|"ZH"|693367|266654|25|8.678847|47.543969|223|"ZH09"
"Aesch BL"|4147|0|"Aesch (BL)"|"BL"|611242|258173|26|7.587764|47.474231|2761|"BL01"
"Aesch LU"|6287|0|"Aesch (LU)"|"LU"|660592|234064|27|8.239114|47.254706|1021|"LU05"
"Aesch ZH"|8904|0|"Aesch (ZH)"|"ZH"|675273|243354|28|8.434603|47.336747|241|"ZH01"
"Aeschau"|3536|0|"Eggiwil"|"BE"|624975|195361|29|7.766453|46.908883|901|"BE06"
"Aeschi SO"|4556|0|"Aeschi (SO)"|"SO"|617223|225346|30|7.665842|47.178844|2511|"SO01"
