"BFSNR"|"GEMEINDENAME"|"SPRACHREGION"|"GEMEINDE_GROESSE"|"STADT"|"LON"|"LAT"|"PLZ"|"INITIAL"
2|"Affoltern am Albis"|1|4|true|8.432897|47.285697|8909|false
3|"Bonstetten"|1|5|false|8.466153|47.317789|8906|false
4|"Hausen am Albis"|1|6|false|8.526172|47.245292|8915|false
5|"Hedingen"|1|6|false|8.439778|47.300831|8908|false
7|"Knonau"|1|6|false|8.456839|47.223339|8934|false
9|"Mettmenstetten"|1|6|false|8.468583|47.243608|8932|false
10|"Obfelden"|1|6|false|8.419522|47.265769|8912|false
11|"Ottenbach"|1|6|false|8.402122|47.278392|8913|false
13|"Stallikon"|1|6|false|8.493303|47.324144|8143|false
14|"Wettswil am Albis"|1|6|false|8.468886|47.339442|8907|false
27|"Feuerthalen"|1|6|false|8.641028|47.690944|8245|false
30|"Andelfingen"|1|6|false|8.678506|47.594886|8450|false
31|"Henggart"|1|6|false|8.687181|47.560550|8444|false
33|"Kleinandelfingen"|1|6|false|8.681647|47.601831|8451|false
51|"Bachenbülach"|1|6|false|8.540392|47.501339|8184|false
52|"Bassersdorf"|1|4|true|8.620981|47.439425|8303|false
53|"Bülach"|1|4|true|8.550386|47.519072|8180|false
54|"Dietlikon"|1|5|false|8.613861|47.426311|8305|false
55|"Eglisau"|1|6|false|8.526025|47.575178|8193|false
56|"Embrach"|1|5|false|8.595194|47.501228|8424|false
57|"Freienstein-Teufen"|1|6|false|8.567372|47.549886|8428|false
58|"Glattfelden"|1|6|false|8.497711|47.556308|8192|false
59|"Hochfelden"|1|6|false|8.511650|47.521525|8182|false
60|"Höri"|1|6|false|8.500853|47.508042|8181|false
62|"Kloten"|1|4|true|8.597914|47.452933|8302|false
64|"Nürensdorf"|1|5|false|8.656514|47.449381|8309|false
66|"Opfikon"|1|4|true|8.560975|47.432647|8152|false
67|"Rafz"|1|6|false|8.534969|47.614392|8197|false
68|"Rorbas"|1|6|false|8.590831|47.532611|8427|false
69|"Wallisellen"|1|4|true|8.594861|47.418711|8304|false
72|"Winkel"|1|6|false|8.559817|47.493472|8185|false
83|"Buchs (ZH)"|1|5|false|8.432594|47.456236|8107|false
84|"Dällikon"|1|6|false|8.434636|47.443508|8108|false
86|"Dielsdorf"|1|5|false|8.447825|47.476233|8157|false
88|"Neerach"|1|6|false|8.471333|47.508344|8173|false
89|"Niederglatt"|1|6|false|8.494489|47.492522|8172|false
90|"Niederhasli"|1|5|false|8.468989|47.466747|8155|false
91|"Niederweningen"|1|6|false|8.373864|47.505764|8166|false
92|"Oberglatt"|1|5|false|8.529564|47.480800|8154|false
94|"Otelfingen"|1|6|false|8.387114|47.461906|8112|false
96|"Regensdorf"|1|4|true|8.466250|47.432050|8105|false
97|"Rümlang"|1|5|false|8.521736|47.448878|8153|false
100|"Stadel"|1|6|false|8.471275|47.529294|8174|false
101|"Steinmaur"|1|6|false|8.454236|47.494392|8162|false
111|"Bäretswil"|1|6|false|8.855767|47.337536|8344|false
112|"Bubikon"|1|5|false|8.814161|47.271317|8608|false
113|"Dürnten"|1|5|false|8.847711|47.265478|8632|false
114|"Fischenthal"|1|6|false|8.932344|47.353914|8496|false
115|"Gossau (ZH)"|1|5|false|8.757272|47.320956|8614|false
116|"Grüningen"|1|6|false|8.762536|47.285756|8627|false
117|"Hinwil"|1|4|true|8.847197|47.301181|8340|false
118|"Rüti (ZH)"|1|4|true|8.849903|47.253478|8630|false
120|"Wald (ZH)"|1|5|false|8.917003|47.279950|8636|false
121|"Wetzikon (ZH)"|1|3|true|8.806361|47.322381|8620|false
131|"Adliswil"|1|4|true|8.517967|47.311333|8134|false
132|"Hirzel"|1|6|false|8.606661|47.217022|8816|false
133|"Horgen"|1|4|true|8.529561|47.288350|8135|false
135|"Kilchberg (ZH)"|1|5|false|8.547336|47.323703|8802|false
136|"Langnau am Albis"|1|5|false|8.529561|47.288350|8135|false
137|"Oberrieden"|1|6|false|8.574231|47.272806|8942|false
138|"Richterswil"|1|4|true|8.700950|47.208256|8805|false
139|"Rüschlikon"|1|5|false|8.547314|47.304236|8803|false
141|"Thalwil"|1|4|true|8.552667|47.282558|8136|false
142|"Wädenswil"|1|3|true|8.646444|47.248053|8804|false
151|"Erlenbach (ZH)"|1|5|false|8.593494|47.300644|8703|false
152|"Herrliberg"|1|5|false|8.620558|47.293236|8704|false
153|"Hombrechtikon"|1|5|false|8.761767|47.255242|8634|false
154|"Küsnacht (ZH)"|1|4|true|8.589869|47.319569|8700|false
155|"Männedorf"|1|4|true|8.697000|47.258128|8708|false
156|"Meilen"|1|4|true|8.646786|47.274947|8706|false
157|"Oetwil am See"|1|6|false|8.726836|47.269617|8618|false
158|"Stäfa"|1|4|true|8.731036|47.238950|8712|false
159|"Uetikon am See"|1|5|false|8.679042|47.269467|8707|false
160|"Zumikon"|1|5|false|8.625817|47.335892|8126|false
161|"Zollikon"|1|4|true|8.606753|47.345083|8125|false
172|"Fehraltorf"|1|5|false|8.750364|47.391908|8320|false
173|"Hittnau"|1|6|false|8.824083|47.360922|8335|false
174|"Illnau-Effretikon"|1|4|true|8.695294|47.420469|8307|false
176|"Lindau"|1|5|false|8.698208|47.443872|8310|false
177|"Pfäffikon"|1|4|true|8.781086|47.365228|8330|false
178|"Russikon"|1|6|false|8.810414|47.397644|8322|false
180|"Weisslingen"|1|6|false|8.792592|47.429419|8484|false
191|"Dübendorf"|1|3|true|8.610681|47.391989|8600|false
192|"Egg"|1|5|false|8.691431|47.300656|8132|false
193|"Fällanden"|1|5|false|8.645675|47.372586|8117|false
194|"Greifensee"|1|5|false|8.674889|47.368158|8606|false
195|"Maur"|1|5|false|8.627050|47.356742|8122|false
196|"Mönchaltorf"|1|6|false|8.715031|47.313244|8617|false
197|"Schwerzenbach"|1|6|false|8.655903|47.380358|8603|false
198|"Uster"|1|3|true|8.674889|47.368158|8606|false
199|"Volketswil"|1|4|true|8.686017|47.388753|8604|false
200|"Wangen-Brüttisellen"|1|5|false|8.635569|47.421986|8306|false
213|"Brütten"|1|6|false|8.676381|47.470581|8311|false
217|"Elgg"|1|6|false|8.863094|47.495067|8353|false
219|"Elsau"|1|6|false|8.805186|47.503844|8352|false
221|"Hettlingen"|1|6|false|8.708639|47.543856|8442|false
223|"Neftenbach"|1|5|false|8.678847|47.543969|8412|false
224|"Pfungen"|1|6|false|8.645756|47.512964|8422|false
225|"Rickenbach (ZH)"|1|6|false|8.783069|47.542081|8545|false
227|"Seuzach"|1|5|false|8.723144|47.536625|8472|false
228|"Turbenthal"|1|6|false|8.852233|47.433447|8488|false
230|"Winterthur"|1|1|true|8.712736|47.500786|8400|false
231|"Zell (ZH)"|1|5|false|8.783542|47.457331|8483|false
242|"Birmensdorf (ZH)"|1|5|false|8.445178|47.353000|8903|false
243|"Dietikon"|1|3|true|8.403872|47.398633|8953|false
244|"Geroldswil"|1|6|false|8.413072|47.422906|8954|false
245|"Oberengstringen"|1|5|false|8.466825|47.409639|8102|false
246|"Oetwil an der Limmat"|1|6|false|8.389342|47.431369|8955|false
247|"Schlieren"|1|4|true|8.451211|47.393417|8952|false
248|"Uitikon"|1|6|false|8.448478|47.370692|8142|false
249|"Unterengstringen"|1|6|false|8.441311|47.412067|8103|false
250|"Urdorf"|1|5|true|8.419089|47.384681|8902|false
251|"Weiningen (ZH)"|1|6|false|8.434439|47.416697|8104|false
261|"Zürich"|1|1|true|8.541336|47.372047|8001|true
297|"Bauma"|1|6|false|8.853469|47.391117|8493|false
298|"Wiesendangen"|1|5|false|8.789500|47.521261|8542|false
301|"Aarberg"|1|6|false|7.275297|47.043542|3270|false
303|"Grossaffoltern"|1|6|false|7.339675|47.069989|3257|false
306|"Lyss"|1|4|true|7.307511|47.070578|3250|false
307|"Meikirch"|1|6|false|7.399408|46.992489|3042|false
310|"Rapperswil (BE)"|1|6|false|7.426508|47.089064|3251|false
311|"Schüpfen"|1|6|false|7.376797|47.038208|3054|false
312|"Seedorf (BE)"|1|6|false|7.285478|46.994931|3035|false
321|"Aarwangen"|1|6|false|7.763406|47.240872|4912|false
329|"Langenthal"|1|4|true|7.792492|47.211589|4900|false
331|"Lotzwil"|1|6|false|7.799433|47.182092|4932|false
332|"Madiswil"|1|6|false|7.799433|47.182092|4932|false
337|"Roggwil (BE)"|1|6|false|7.821683|47.239903|4914|false
342|"Thunstetten"|1|6|false|7.744525|47.216664|4922|false
351|"Bern"|1|1|true|7.452017|46.980486|3004|true
